"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.0.1","8.8.8.8","DNS","98","Standard query 0xde60 TXT 1.1.8J+TsCBSQU5T.verysecret.domain.com"
"2","0.026293","10.0.0.1","8.8.8.8","DNS","98","Standard query 0xd4de TXT 1.2.T00gTk9URSDw.verysecret.domain.com"
"3","0.048733","10.0.0.1","8.8.8.8","DNS","98","Standard query 0xf2f3 TXT 1.3.n5OwCgpXRSBI.verysecret.domain.com"
"4","0.067517","10.0.0.1","8.8.8.8","DNS","98","Standard query 0x12f4 TXT 1.4.QVZFIE1JVFRF.verysecret.domain.com"
"5","0.087658","10.0.0.1","8.8.8.8","DNS","98","Standard query 0x5560 TXT 1.5.TlMuIPCfkIji.verysecret.domain.com"
"6","0.110524","10.0.0.1","8.8.8.8","DNS","98","Standard query 0xff2f TXT 1.6.gI3irJsKClRo.verysecret.domain.com"
"7","0.137131","10.0.0.1","8.8.8.8","DNS","98","Standard query 0x4d96 TXT 1.7.YXTigJlzIHJp.verysecret.domain.com"
"8","0.162031","10.0.0.1","8.8.8.8","DNS","98","Standard query 0xb41e TXT 1.8.Z2h0LiBZb3Vy.verysecret.domain.com"
"9","0.185454","10.0.0.1","8.8.8.8","DNS","98","Standard query 0xf57b TXT 1.9.IHByZWNpb3Vz.verysecret.domain.com"
"10","0.206227","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x786a TXT 1.10.LCBmbHVmZnks.verysecret.domain.com"
"11","0.226445","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x8878 TXT 1.11.IGxpdHRsZSBm.verysecret.domain.com"
"12","0.244539","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x0cdf TXT 1.12.dXJiYWxsIGlz.verysecret.domain.com"
"13","0.271305","10.0.0.1","8.8.8.8","DNS","99","Standard query 0xaed5 TXT 1.13.IGN1cnJlbnRs.verysecret.domain.com"
"14","0.292161","10.0.0.1","8.8.8.8","DNS","99","Standard query 0xea8d TXT 1.14.eSBpbiBvdXIg.verysecret.domain.com"
"15","0.310683","10.0.0.1","8.8.8.8","DNS","99","Standard query 0xfe09 TXT 1.15.Y3VzdG9keS4g.verysecret.domain.com"
"16","0.328241","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x0d95 TXT 1.16.RG8gbm90IHBh.verysecret.domain.com"
"17","0.344865","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x76dc TXT 1.17.bmlj4oCUTWl0.verysecret.domain.com"
"18","0.363189","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x1904 TXT 1.18.dGVucyBpcyBh.verysecret.domain.com"
"19","0.390956","10.0.0.1","8.8.8.8","DNS","99","Standard query 0xcc36 TXT 1.19.bGl2ZeKApiBm.verysecret.domain.com"
"20","0.406824","10.0.0.1","8.8.8.8","DNS","99","Standard query 0xfc71 TXT 1.20.b3Igbm93LiBC.verysecret.domain.com"
"21","0.422530","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x017f TXT 1.21.dXQgaGVyIApm.verysecret.domain.com"
"22","0.440193","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x1c38 TXT 1.22.YXRlIGRlcGVu.verysecret.domain.com"
"23","0.459257","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x413e TXT 1.23.ZHMgZW50aXJl.verysecret.domain.com"
"24","0.478774","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x9369 TXT 1.24.bHkgb24geW91.verysecret.domain.com"
"25","0.499936","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x39af TXT 1.25.LgoKU2VlLCB3.verysecret.domain.com"
"26","0.517574","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x8cb0 TXT 1.26.ZSB3ZXJlIHZl.verysecret.domain.com"
"27","0.535560","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x726a TXT 1.27.cnkgZGlzYXBw.verysecret.domain.com"
"28","0.564889","10.0.0.1","8.8.8.8","DNS","99","Standard query 0xfb52 TXT 1.28.b2ludGVkIGJ5.verysecret.domain.com"
"29","0.581854","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x15fb TXT 1.29.IHRoZSBsYWNr.verysecret.domain.com"
"30","0.600140","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x8f36 TXT 1.30.IG9mIG9mZmVy.verysecret.domain.com"
"31","0.618800","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x60f9 TXT 1.31.aW5ncyBsZWZ0.verysecret.domain.com"
"32","0.637768","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x16a6 TXT 1.32.IGZvciBoZXIg.verysecret.domain.com"
"33","0.657528","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x84ea TXT 1.33.aGlnaG5lc3Mu.verysecret.domain.com"
"34","0.674065","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x6621 TXT 1.34.IE5vIHR1bmE/.verysecret.domain.com"
"35","0.693394","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x0d8c TXT 1.35.IE5vIGNhdG5p.verysecret.domain.com"
"36","0.709834","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x764a TXT 1.36.cD8gTm90IGV2.verysecret.domain.com"
"37","0.726711","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x111e TXT 1.37.ZW4gYSB3YXJt.verysecret.domain.com"
"38","0.743430","10.0.0.1","8.8.8.8","DNS","99","Standard query 0xefcf TXT 1.38.IGxhcCBmb3Ig.verysecret.domain.com"
"39","0.760860","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x56bb TXT 1.39.aGVyIAp0byBz.verysecret.domain.com"
"40","0.777556","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x8956 TXT 1.40.aXQgb24/IFVu.verysecret.domain.com"
"41","0.797375","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x977e TXT 1.41.YWNjZXB0YWJs.verysecret.domain.com"
"42","0.814061","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x0aa4 TXT 1.42.ZS4gU28gd2Ug.verysecret.domain.com"
"43","0.830616","10.0.0.1","8.8.8.8","DNS","99","Standard query 0xdb90 TXT 1.43.dG9vayBtYXR0.verysecret.domain.com"
"44","0.848966","10.0.0.1","8.8.8.8","DNS","99","Standard query 0xd7dd TXT 1.44.ZXJzIGludG8g.verysecret.domain.com"
"45","0.875774","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x5a3e TXT 1.45.b3VyIG93biBo.verysecret.domain.com"
"46","0.891942","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x8423 TXT 1.46.YW5kcy4KCkFz.verysecret.domain.com"
"47","0.911369","10.0.0.1","8.8.8.8","DNS","99","Standard query 0xa47f TXT 1.47.IG9mIHRoaXMg.verysecret.domain.com"
"48","0.931382","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x9a75 TXT 1.48.bW9tZW50LCBN.verysecret.domain.com"
"49","0.958003","10.0.0.1","8.8.8.8","DNS","99","Standard query 0xfdf5 TXT 1.49.aXR0ZW5zIGlz.verysecret.domain.com"
"50","0.975412","10.0.0.1","8.8.8.8","DNS","99","Standard query 0xb42e TXT 1.50.IHNpdHRpbmcg.verysecret.domain.com"
"51","0.992728","10.0.0.1","8.8.8.8","DNS","99","Standard query 0xb6fa TXT 1.51.aW4gYSBsb2Nh.verysecret.domain.com"
"52","1.009506","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x4d16 TXT 1.52.dGlvbiB3ZSB3.verysecret.domain.com"
"53","1.027918","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x8b38 TXT 1.53.b27igJl0IGRp.verysecret.domain.com"
"54","1.045811","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x1fd1 TXT 1.54.c2Nsb3NlLiBT.verysecret.domain.com"
"55","1.062783","10.0.0.1","8.8.8.8","DNS","99","Standard query 0xe160 TXT 1.55.aGXigJlzIHdh.verysecret.domain.com"
"56","1.080705","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x355f TXT 1.56.cm0uIFNoZeKA.verysecret.domain.com"
"57","1.097630","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x14c7 TXT 1.57.mXMgc2FmZS4g.verysecret.domain.com"
"58","1.113396","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x743f TXT 1.58.QnV0IGlmIG91.verysecret.domain.com"
"59","1.142459","10.0.0.1","8.8.8.8","DNS","99","Standard query 0xf8ba TXT 1.59.ciBkZW1hbmRz.verysecret.domain.com"
"60","1.159736","10.0.0.1","8.8.8.8","DNS","99","Standard query 0xc37a TXT 1.60.IGFyZSBub3Qg.verysecret.domain.com"
"61","1.175239","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x1285 TXT 1.61.bWV0IApJTU1F.verysecret.domain.com"
"62","1.191741","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x6b09 TXT 1.62.RElBVEVMWSwg.verysecret.domain.com"
"63","1.210410","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x3830 TXT 1.63.d2Ugd2lsbCBo.verysecret.domain.com"
"64","1.228937","10.0.0.1","8.8.8.8","DNS","99","Standard query 0xbd48 TXT 1.64.YXZlIG5vIGNo.verysecret.domain.com"
"65","1.245715","10.0.0.1","8.8.8.8","DNS","99","Standard query 0xf17c TXT 1.65.b2ljZSBidXQg.verysecret.domain.com"
"66","1.261432","10.0.0.1","8.8.8.8","DNS","99","Standard query 0x34f0 TXT 1.66.dG8gdGFrZSBk.verysecret.domain.com"
